id,lemma
1,a
2,from a to z
3,from A to Z
4,from point a to point b
5,from (point) A to (point) B
6,aardvark
7,ab
8,abacus
9,abalone
10,abandonment
11,abandon
12,abatement
13,abattoir
14,abbess
15,abbey
17,abbreviation
18,abc
19,ABC
20,abdication
21,abdomen
22,abduction
23,abductor
24,aberration
25,abeyance
26,in abeyance
27,abhorrence
28,ability
29,ablution
30,abnormality
31,abode
32,abolition
33,abolitionist
34,a bomb
35,A-bomb
37,abomination
38,aboriginal
39,aborigine
40,abortion
41,abortionist
42,about face
43,about-face
44,about turn
45,about-turn
46,abrasion
47,abrasiveness
48,abrasive
49,abridgment
50,abridgement
51,abrogation
52,abruptness
53,abscess
54,absconder
55,absence
56,in someone's absence
57,absentee
58,absentee ballot
59,absenteeism
60,absentee landlord
61,absentmindedness
62,absinthe
63,absoluteness
64,absolute zero
65,absolution
66,absorber
67,absorption
68,absorbency
69,abstainer
70,abstemiousness
71,abstention
72,abstinence
73,abstractness
74,abstract
75,in the abstract
76,abstraction
77,abstruseness
78,absurdity
79,abundance
80,in abundance
81,abuser
82,abuse
83,abutter
84,abutment
85,abyss
86,acacia
87,academia
88,academic
89,academic year
90,academy
91,acceleration
92,accelerator
93,accent
94,accent mark
95,accentuation
96,acceptability
97,acceptance
98,access
99,accessibility
100,accession
101,accessory
102,access time
103,accident
104,by accident
105,acclaim
106,acclamation
107,acclimation
108,acclimatization
109,acclimatisation
110,accolade
111,accommodation
112,accompaniment
113,accompanist
114,accomplice
115,accomplishment
116,accord
117,of its own accord
118,of your own accord
119,with one accord
120,accordance
121,in accordance with
122,accordion
123,accordionist
124,account
125,bring call someone to account
126,bring/call (someone) to account
127,by from all accounts
128,by/from all accounts
129,by your own account
130,give a good account of yourself
131,on account of
132,on no account
133,on someone's account
134,on your own account
135,take something into account
136,take (something) into account
137,turn something to good account
138,turn (something) to (good) account
139,accountability
140,accountant
141,accounting
142,accoutrement
143,accreditation
144,accretion
145,accrual
146,accumulation
147,accuracy
148,accusation
149,accusative
150,accuser
151,accused
152,the accused
153,ace
154,an ace in the hole
155,hold all the aces
156,within an ace of
157,acetaminophen
158,acetylene
159,ache
160,achievement
161,achiever
162,achilles' heel
163,Achilles' heel
164,achilles tendon
165,Achilles tendon
166,acid
167,acidity
168,acidification
169,acid rain
170,acid test
171,acknowledgment
172,acme
173,acne
174,acolyte
175,acorn
176,acorn squash
177,acoustics
178,acquaintance
179,acquaintanceship
180,acquiescence
181,acquired immune deficiency syndrome
182,acquisition
183,acquisitiveness
184,acquittal
185,acre
186,acreage
187,acrimony
188,acrobat
189,acrobatics
190,acronym
191,acrylic
192,act
193,get into the act
194,in the act of doing something
195,in the act (of doing something)
196,acting
197,action
198,in action
199,into action
200,out of action
201,action figure
202,action replay
203,action verb
204,activation
205,activist
206,activism
207,activity
208,actor
209,actress
210,actuality
211,in actuality
212,actuary
213,acuity
214,acumen
215,acupressure
216,acupuncture
217,acuteness
218,ad
219,adage
220,adagio
221,adamance
222,adam's apple
223,Adam's apple
224,adaptability
225,adaptation
226,adapter
227,addendum
228,adder
229,addict
230,addiction
231,addition
232,in addition
233,in addition to
234,additive
235,add on
236,add-on
237,address
238,form term of address
239,form/term of address
240,address book
241,addressee
242,adenoids
243,adeptness
244,adept
245,adequacy
249,adhesive
250,adieu
251,adjective
252,adjournment
253,adjudication
254,adjudicator
255,adjunct
256,adjuster
257,adjustment
258,adjutant
259,adman
260,admin
261,administration
262,administrator
263,admiral
264,admiralty
265,the admiralty
266,the Admiralty
267,admiration
268,admirer
269,admission
270,admittance
271,admixture
272,admonishment
273,admonition
274,ado
275,without further ado
276,adobe
277,adolescence
278,adolescent
