"from A to Z",39438,1
"from (point) A to (point) B",30988,1
aardvark,30749,2
abacus,13279,2
abalone,30998,1
abandonment,103391,3
abandon,235,5
abatement,105196,1
abattoir,36921,1
abbess,25723,1
abbey,3767,3
abbot,17853,3
abbreviation,3377,4
ABC,15160,1
abdication,99658,1
abdomen,12988,3
abduction,106974,2
abductor,87997,1
aberration,10914,2
abeyance,102371,1
abhorrence,103760,1
ablution,37992,1
abnormality,8102,3
abode,259,2
abolition,26915,4
abolitionist,27522,1
abomination,21097,2
aboriginal,20988,3
aborigine,37832,1
abortionist,36615,1
abrasion,39222,1
abrasiveness,90666,1
abrasive,1538,3
abridgment,99357,1
abridgement,81083,1
abrogation,107039,1
abruptness,95903,1
abscess,39979,1
absconder,86177,1
"in someone's absence",16054,1
absentee,14140,2
absenteeism,17397,1
absentmindedness,94484,1
absinthe,1334,1
absoluteness,91203,1
absolution,40831,2
absorber,110705,1
absorption,94437,4
absorbency,96081,1
abstainer,86168,1
abstemiousness,95763,1
abstention,16365,1
abstinence,26657,2
abstractness,90953,1
abstraction,14144,3
abstruseness,90501,1
absurdity,95752,4
abundance,8269,4
abuser,86166,2
abuse,21136,4
abutter,86164,1
abutment,6655,1
abyss,18363,1
acacia,8902,1
academia,16104,2
academic,6160,5
academy,4619,4
acceleration,37111,4
accelerator,2616,3
accent,5439,4
accentuation,106231,1
acceptability,90782,3
acceptance,7756,4
accessibility,91064,3
accession,5330,3
accessory,16059,4
acclaim,8643,4
acclamation,20856,1
acclimation,99854,1
acclimatization,99852,1
acclimatisation,79182,1
accolade,29700,1
accommodation,9663,5
accompaniment,3868,3
accompanist,14599,1
accomplice,9470,2
accomplishment,36760,4
accord,23205,4
"of its own accord",6844,1
"of your own accord",22848,1
accordance,106452,4
accordion,5932,1
accordionist,86260,1
"bring/call (someone) to account",17214,1
"by/from all accounts",2823,1
"by your own account",9425,1
"give a good account of yourself",39085,1
"on someone's account",24693,1
"on your own account",21091,1
"take (something) into account",27789,1
"turn (something) to (good) account",41004,1
accountability,91548,4
accountant,24409,4
accoutrement,21577,1
accreditation,108266,3
accretion,17496,1
accrual,107781,1
accumulation,99855,4
accuracy,12484,4
accusation,1562,4
accusative,2951,1
accuser,86265,2
accused,86263,3
ace,9582,4
"an ace in the hole",8370,1
"hold all the aces",7509,1
"within an ace of",97,1
acetaminophen,18834,1
acetylene,40713,1
ache,4801,4
achiever,30578,1
"Achilles' heel",37929,1
acid,9883,4
acidity,95160,4
acidification,99862,1
acknowledgment,30948,1
acme,34642,2
acne,16111,2
acolyte,25640,1
acorn,27968,2
acoustics,41265,2
acquaintance,12333,4
acquaintanceship,102559,1
acquiescence,106477,1
"acquired immune deficiency syndrome",37175,1
acquisition,13881,4
acquisitiveness,96046,1
acquittal,39793,1
acre,19907,4
acreage,33466,1
acrimony,42592,1
acrobat,20367,2
acrobatics,3415,1
acronym,8693,1
acrylic,5568,1
"get into the act",23811,1
"in the act (of doing something)",9454,1
activation,99863,3
activist,16391,4
activism,102940,1
actress,6000,5
actuality,21425,2
actuary,26129,1
acuity,7292,1
acumen,1518,1
acupressure,7594,1
acupuncture,10026,4
acuteness,91384,1
adage,13118,2
adagio,15599,1
adamance,95624,1
adaptability,91428,1
adaptation,3466,4
adapter,23356,1
addendum,23674,2
adder,18060,1
addict,33577,4
addiction,23907,4
additive,35053,1
"form/term of address",18600,1
addressee,5485,1
adenoids,13960,2
adeptness,94249,1
adept,30767,3
adequacy,90777,4
adherence,15359,4
adherent,27801,1
adhesion,15416,3
adhesive,7524,2
adieu,10735,1
adjective,23070,4
adjournment,103876,1
adjudication,108610,3
adjudicator,86234,1
adjunct,9617,1
adjuster,86233,1
adjutant,21962,2
adman,5455,1
admin,19245,1
administrator,8119,3
admiral,9601,3
admiralty,106443,1
admiration,19712,4
admirer,85467,2
admission,13593,4
admittance,15020,4
admixture,42983,1
admonishment,97797,1
admonition,19485,2
ado,24539,2
adobe,42711,2
adolescence,21718,4
adolescent,2756,4
adoption,1769,4
adoration,15969,2
adornment,12465,1
adrenaline,39565,2
adroitness,94250,1
adulation,41580,1
adulthood,111910,4
adulteration,104254,1
adulterer,27850,1
adulteress,29821,1
adultery,3056,3
advancer,86222,1
advancement,25527,4
advent,19822,4
adventurer,36508,4
adventurism,2640,1
adverb,2884,4
adversary,5689,4
adversity,14793,4
advert,21762,3
advertiser,86227,1
advertising,34419,5
advisability,96223,1
"take (something) under advisement",27932,1
advisory,614,4
advocacy,14642,4
adze,30893,1
aegis,25098,1
aeration,99850,1
aerial,13573,4
aerie,6380,1
aerobatics,19577,1
aerobics,25828,2
aerodynamics,12757,2
aeronautics,33314,1
aeroplane,24737,4
aerosol,14820,2
aerospace,12343,3
aesthete,38457,1
aesthetic,19144,4
affability,91773,1
affectation,24508,1
affection,28176,4
affidavit,15596,3
affiliate,12959,4
affiliation,40734,4
affinity,34121,3
affirmation,97954,4
affix,324,4
affliction,42809,1
affluence,110487,4
afforestation,27864,1
affray,19726,1
affront,14010,2
afghan,3325,1
Afghan,23591,1
"Afghan hound",11775,1
aficionado,42289,1
Afrikaans,34185,1
Afrikaner,32304,1
Afro,26731,1
afterbirth,28962,1
aftercare,6704,1
aftereffect,9864,1
afterglow,19811,2
afterlife,10789,2
aftermath,32474,4
afters,34101,1
aftershave,33427,1
aftershock,33313,1
aftertaste,20994,1
afterthought,33216,2
afterword,3583,1
agate,28260,1
"in a coon's age",11885,1
agedness,96184,1
ageism,18063,1
agelessness,90893,1
"through the agency of",21727,1
agenda,1729,5
"the age of consent",41221,1
agglomeration,33950,1
aggrandizement,14323,1
aggravation,36389,4
aggregation,108545,1
aggregate,5250,4
aggression,7923,4
aggressiveness,90178,1
aggressor,20198,2
aggro,23761,1
agility,95345,2
agitation,102787,4
agitator,32614,1
AGM,21908,1
agnostic,8345,1
agnosticism,100874,1
agony,6125,4
agoraphobia,31971,1
agreeableness,90668,1
